2023-06-17 06:13:35 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:35 status half-configured gpg-wks-server:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:35 status installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:35 configure gpgsm:amd64 2.2.27-2+deb11u2 <none>
2023-06-17 06:13:35 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:35 status half-configured gpgsm:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:35 status installed gpgsm:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:35 configure gnupg:all 2.2.27-2+deb11u2 <none>
2023-06-17 06:13:35 status unpacked gnupg:all 2.2.27-2+deb11u2
2023-06-17 06:13:35 status half-configured gnupg:all 2.2.27-2+deb11u2
2023-06-17 06:13:35 status installed gnupg:all 2.2.27-2+deb11u2
2023-06-17 06:13:35 startup archives unpack
2023-06-17 06:13:35 install mysql-apt-config:all <none> 0.8.24-1
2023-06-17 06:13:35 status half-installed mysql-apt-config:all 0.8.24-1
2023-06-17 06:13:35 status unpacked mysql-apt-config:all 0.8.24-1
2023-06-17 06:13:35 startup packages configure
2023-06-17 06:13:35 configure mysql-apt-config:all 0.8.24-1 <none>
2023-06-17 06:13:35 status unpacked mysql-apt-config:all 0.8.24-1
2023-06-17 06:13:35 status half-configured mysql-apt-config:all 0.8.24-1
2023-06-17 06:13:53 status installed mysql-apt-config:all 0.8.24-1
2023-06-17 06:13:53 trigproc man-db:amd64 2.9.4-2 <none>
2023-06-17 06:13:53 status half-configured man-db:amd64 2.9.4-2
2023-06-17 06:13:54 status installed man-db:amd64 2.9.4-2
2023-06-17 06:13:54 trigproc libc-bin:amd64 2.31-13+deb11u6 <none>
2023-06-17 06:13:54 status half-configured libc-bin:amd64 2.31-13+deb11u6
2023-06-17 06:13:54 status installed libc-bin:amd64 2.31-13+deb11u6
2023-06-17 06:15:12 startup archives unpack
2023-06-17 06:15:12 install mysql-common:amd64 <none> 8.0.33-1debian11
2023-06-17 06:15:12 status half-installed mysql-common:amd64 8.0.33-1debian11
2023-06-17 06:15:12 status unpacked mysql-common:amd64 8.0.33-1debian11
2023-06-17 06:15:12 install mysql-community-client-plugins:amd64 <none> 8.0.33-1debian11
2023-06-17 06:15:12 status triggers-pending libc-bin:amd64 2.31-13+deb11u6
2023-06-17 06:15:12 status half-installed mysql-community-client-plugins:amd64 8.0.33-1debian11
2023-06-17 06:15:12 status unpacked mysql-community-client-plugins:amd64 8.0.33-1debian11
2023-06-17 06:15:12 install mysql-community-client-core:amd64 <none> 8.0.33-1debian11
2023-06-17 06:15:12 status half-installed mysql-community-client-core:amd64 8.0.33-1debian11
2023-06-17 06:15:12 status triggers-pending man-db:amd64 2.9.4-2
2023-06-17 06:15:12 status unpacked mysql-community-client-core:amd64 8.0.33-1debian11
2023-06-17 06:15:12 install mysql-community-client:amd64 <none> 8.0.33-1debian11
2023-06-17 06:15:12 status half-installed mysql-community-client:amd64 8.0.33-1debian11
2023-06-17 06:15:13 status unpacked mysql-community-client:amd64 8.0.33-1debian11
2023-06-17 06:15:13 install mysql-client:amd64 <none> 8.0.33-1debian11
2023-06-17 06:15:13 status half-installed mysql-client:amd64 8.0.33-1debian11
2023-06-17 06:15:13 status unpacked mysql-client:amd64 8.0.33-1debian11
2023-06-17 06:15:13 install libaio1:amd64 <none> 0.3.112-9
2023-06-17 06:15:13 status half-installed libaio1:amd64 0.3.112-9
2023-06-17 06:15:13 status unpacked libaio1:amd64 0.3.112-9
2023-06-17 06:15:13 install libmecab2:amd64 <none> 0.996-14+b4
2023-06-17 06:15:13 status half-installed libmecab2:amd64 0.996-14+b4
2023-06-17 06:15:13 status unpacked libmecab2:amd64 0.996-14+b4
2023-06-17 06:15:13 install libnuma1:amd64 <none> 2.0.12-1+b1
2023-06-17 06:15:13 status half-installed libnuma1:amd64 2.0.12-1+b1
2023-06-17 06:15:13 status unpacked libnuma1:amd64 2.0.12-1+b1
2023-06-17 06:15:13 install mysql-community-server-core:amd64 <none> 8.0.33-1debian11
2023-06-17 06:15:13 status half-installed mysql-community-server-core:amd64 8.0.33-1debian11
